#separator:tab
#html:false
{[感化|かんか];1}	‪（{[蜂|はち];0}[楽|らく](ばちら)）‬ ‪[感|かん][化|か]{され[た=る];Y0}んだよ {[誰|だれ]かさん;1}に‬		Einfluss haben			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (0m57s)	
{[宝物|たからもの];0}	‪{[宝物|たからもの];0}だからな‬		Schatz			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (3m52s)	
{[後継者|こうけいしゃ];3}	‪なんで？‬ ‪{[欲|ほ]しい;Y2}ものは{[全|すべ]て;1}{[手|て];1}に{[入|い]れ[ろ=る];Y0}って…‬ ‪（{[父|ちち];2,1}）{お[前|まえ];0}は{[俺|おれ];0}の{[後継者|こうけいしゃ];3}だ‬ ‪それに {サッカー;1}{[選手|せんしゅ];1}なんて‬ ‪{[選|えら]ばれ[た=る];Y4}{[人間|にんげん];0}しか{なれ[ない=る];Y2}‬		Nachfolger, Erbe			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (5m00s)	
{ダラダラ;1}	‪{[一生|いっしょう];0} {ダラダラ;1}してたいんだよね {[俺|おれ];0}‬ ‪{お[金|かね];0}{ちょうだい;3}‬		schleppend			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (6m15s)	
{[偶然|ぐうぜん];0}	‪お[前|まえ]らは まだ‬ ‪{[偶然|ぐうぜん];0}の{[中|なか];1}で{[生|い]き[て=る];Y2}いる‬ ‪それじゃあ{ダメ;2}なんだ‬		Zufall			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (11m39s)	
{[脳|のう]みそ;3}	‪{[ばろ=はる];Y0}… {う[っ=つ];Y1}！‬ ‪{ちょ[っ=く];Y1} [おま|うま]…‬ ‪（[馬|ば]{[狼|おおかみ];1}）‬ ‪{[自分|じぶん];0}の{[脳|のう]みそ;3}{[使|つか]え[=る];Y0} {[下手|へた];2}{クソ;!2}‬		Hirnschmalz, Verstand, wörtl. Gehirn Miso			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (13m25s)	
{[奪|うば][える=う];Y2}‬	‪{お[前|まえ];0}は 一[人|にん]でも{ゴール;1}を{[奪|うば][える=う];Y2}‬ ‪{[俺|おれ];0}が{[会|あ][った=う];Y1}{[中|なか];1}で {[一番|いちばん];!2}{すごい;Y2}{[ヤツ|やっこ];!0}だ‬		wegnehmen, entreißen, rauben (hier für Tor erzielen)			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (13m29s)	
{[震|ふる]える;Y0}	‪あ…‬ ‪そうだ {[怖|こわ]い;Y2}から{[震|ふる]え[て=る];Y0}るんだ‬ ‪（[潔|きよし]）{いい;Y1}よ {お[前|まえ];0}は{[正|ただ]しい;Y3}‬		zittern			Blue Lock S01E08 Folge 8 - ja - Japanisch [CC].nfvtt (18m12s)	
{[受|う]かる;Y2}	‪{[毎週|まいしゅう];0} かるた[会|かい]に{[来|き]て;Y1|くる}て‬ ‪{[受|う]かる;Y2}ような{[学校|がっこう];0}じゃないんだよ‬		bestehen (Prüfung etc.)			Chihayafuru S01E03 A white snowflake - ja - Japanisch [CC].nfvtt (15m08s)	
{[名人|めいじん];3}	‪（{[太一|たいいつ];1}(たいち)）‬ ‪{[俺|おれ];0}なんか {[名人|めいじん];3}に{な[って=る];Y0}るもんね‬ ‪{[私|わたし];0}は {クイーン;2}！‬		Meister, Experte, Virtuose			Chihayafuru S01E04 As an excited mind, Does the flower wither? - ja - Japanisch [CC].nfvtt (0m30s)	
{[暴力的|ぼうりょくてき];0}	‪{お[前|まえ];0} {[暴力的|ぼうりょくてき];0}なとこは‬ ‪{[昔|むかし];0}の{まんま;1}だな‬		gewalttätig			Chihayafuru S01E04 As an excited mind, Does the flower wither? - ja - Japanisch [CC].nfvtt (3m40s)	
{[制服|せいふく];0}	‪{[遅|おそ]い;Y0}よ～‬ ‪{せっかく;!0} {[制服|せいふく];0}{[見|み]せ[=る];Y2}に{[来|き]た;Y1|くる}のに～‬		Uniform			Chihayafuru S01E04 As an excited mind, Does the flower wither? - ja - Japanisch [CC].nfvtt (3m47s)	
っけ	‪そういや マキマさんにって‬ ‪{[何|なん]ら;1,0}っけ？‬		Partikel, die eine versuchte Rückerinnerung ausdrückt			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (2m05s)	
{[逮捕|たいほ];1}	‪{[未成年|みせいねん];2}に {[手|て];1} {[出|だ][したら=す];Y1}‬ ‪{[逮捕|たいほ];1}だからね{[～|にょろ];0} {[逮捕|たいほ];1}～‬		Festnahme			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (9m43s)	
{くっ[付|つ]ける;Y4}	‪{[私|わたし];0}が {デンジ;!0,1}[君|くん]とマキマさんを‬ ‪{くっつけ[て=る];Y4}{あげ[よう=る];Y0}か‬ ‪ええっ {マジ;1}？　え～…‬		verkuppeln 			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (10m24s)	
{[愚|おろ]か;1}	Vorher *Knall* （{デンジ;!0,1}）{[何|なん]だ;1}？　この{[音|おと];2}‬ ‪（{パワー;1}）{[知|し][らん=る];Y0}とは{[愚|おろ]か;1}じゃのお‬ ‪{[太鼓|たいこ];0}の{[音|おと];2}じゃ‬		blöde			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (13m49s)	
{[頑丈|がんじょう];0}	‪デビルハンターの{スーツ;1}は‬ ‪{[頑丈|がんじょう];0}だからな‬		robust			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (19m18s)	
{[面倒|めんどう];3}{[見|み]る;Y1}	‪{[面倒見|めんどうみ];3,0}てた{[新人|しんじん];0}が‬ ‪{[死|し][んだ=ぬ];Y0}{[時|とき];2}なんかは‬ ‪{[隠|かく]れ[て=る];Y3}{[泣|な][いて=く];Y0}いたから‬ ‪{[面白|おもしろ][かった=い];Y4}‬		um jemanden kümmern, betreuen, angestrengt ansehen			Chainsaw Man S01E08 Gunfire - ja - Japanisch [CC].nfvtt (20m40s)	
{びびる;Y2}	‪えっ {[潔|いさぎよ][=い];Y4} {ビビ[って=る];Y2}んの？‬		verängstigt sein			Blue Lock S01E09 Folge 9 - ja - Japanisch [CC].nfvtt (6m02s)	
{[心臓|しんぞう];0}	‪{[心臓|しんぞう];0}は{[傷|きず]つけ[ない=る];Y4}で‬		Herz			Chainsaw Man S01E09 From Kyoto - ja - Japanisch [CC].nfvtt (2m07s)	
lol	‪（{デンジ;!0,1}）{[死|し][ね=ぬ];Y0}～！‬		lol			Chainsaw Man S01E09 From Kyoto - ja - Japanisch [CC].nfvtt (2m48s)	
{[援護|えんご];1}	‪{[援護|えんご];1}しに{[来|こ]い;Y1|くる}‬		Deckung geben			Chainsaw Man S01E09 From Kyoto - ja - Japanisch [CC].nfvtt (4m37s)	
{[鍛|きた]える;Y3}	‪マキマに {お[前|まえ]たち;!2}を‬ ‪{[鍛|きた]え[て=る];Y3}{くれ[=る];Y0}と{[頼|たの][まれた=む];Y2}‬		trainieren abhärten drillen			Chainsaw Man S01E10 Bruised & Battered - ja - Japanisch [CC].nfvtt (10m30s)	
{[覚悟|かくご];1,2}‬	‪{それなり;0}の{[覚悟|かくご];1,2}を‬ ‪[君|くん]には して{もらう;Y0}‬ ‪（{[早川|はやかわ];2}）{[覚悟|かくご];1,2}？‬ ‪そう {[覚悟|かくご];1,2}‬		sich auf etw. gefasst machen sich entschließen sich bereit machen seine Hoffnungen aufgeben Bereitschaft Gefasstheit			Chainsaw Man S01E10 Bruised & Battered - ja - Japanisch [CC].nfvtt (13m34s)	
{[指導|しどう];0}	‪{[指導|しどう];0}ってのは {そういう;0}ことか？‬		Leitung Unterweisung Direktion			Chainsaw Man S01E10 Bruised & Battered - ja - Japanisch [CC].nfvtt (13m08s)	
{[捕|つか]まえる;Y0}	‪{[俺|おれ]たち;2}{[全員|ぜんいん];0}で{[捕|つか]まえ[=る];Y0}に{[行|い]く;Y0}‬		fangen, festnehmen			Chainsaw Man S01E11 Mission Start - ja - Japanisch [CC].nfvtt (4m53s)	
{[組|ぐみ];2}{[同士|どうし];1}	‪[組|ぐみ]{[同士|どうし];1}で{[戦争|せんそう];0}が{[起|お]こ[っ=る];Y2}{ちゃう;Y1}よ‬		Gruppe von Verbündeten			Chainsaw Man S01E11 Mission Start - ja - Japanisch [CC].nfvtt (11m37s)	
{[威勢|いせい];0}の{いい;Y1}	その{[威勢|いせい];0}の{いい;Y1}やつが{いい;Y1}な		voll Leben, munter, lebhaft			2023-31-08 Samurai Champloo	威勢のいい
力ずくで	力ずくで捕まえようとしてもダメなの		mit Gewalt			2023-31-08 Samurai Champloo	力ずくで
{[繁盛|はんじょう];1}	（[紫乃|しの]）{[繁盛|はんじょう];1}{[繁盛|はんじょう];1}{よ[かった=い];Y1}ねえ		gute Geschäfte machen			2023-31-08 Samurai Champloo	繁盛
これほどまずいうなぎ食べたの初めて‌	これほど{まずい;Y2}{うなぎ;0}{[食|た]べ[た=る];Y2}の{[初|はじ]めて;2}‌			So einen schlechten Unagi zu essen, passiert mir zum ersten Mal.  So einen schlechten Unagi habe ich noch nie gegessen.		Expressions	
{[旦那|だんな];0}	{[旦那|だんな];0}が{[借金|しゃっきん];3}{こさえ[て=る];Y0}{そのカタ;4,3}にね		Ehemann			2023-31-08 Samurai Champloo	旦那
{う[りゃ=る];Y2}あ！{[勝|か][たね=つ];Y1}えと{[飯|めし];2}{[抜|ぬ]き;1}だぞ	{う[りゃ=る];Y2}あ！{[勝|か][たね=つ];Y1}えと{[飯|めし];2}{[抜|ぬ]き;1}だぞ		kriegst kein Futter	Wenn du verlierst kannst du auf dein Futter verzichten!		Expression	
{[商売|しょうばい];1}	{[悪|わる]い;Y2}けど{[商売|しょうばい];1}の{[邪魔|じゃま];0}に{なる;Y0}から{[帰|かえ][って=る];Y1}		Geschäft			2023-31-08 Samurai Champloo	商売
{[怪|あや]しい;Y0,3}	あの{[野郎|やろう];0,2}{[全然|ぜんぜん];0}{[女|おんな]っ[気|け];0}ねえから{[怪|あや]しい;Y0,3}と{[思|おも][って=う];Y2}たんだよ		verdächtig dubios			2023-31-08 Samurai Champloo	怪しい
{[胸|むね];2}{ペッタンコ;3,1}のくせに	{[胸|むね];2}{ペッタンコ;3,1}のくせに			du bist ja auch voll die Flachbrust		Expression	
